id,name,type,period,confidence,notes
1,Knidos,city,Archaic–Byzantine,high,
2,Termessos,city,Hellenistic–Roman,high,Abandoned after earthquakes; no Byzantine phase
3,Bathonea,city,Roman–Byzantine,medium,Harbor settlement on Küçükçekmece; identification debated
4,Perinthos-Heraklia,city,Archaic–Byzantine,high,
5,Vize Ancient Theater,monument,Roman,high,Single structure of ancient Bizye
6,Vize Castle,fortress,Byzantine–Ottoman,high,Pre-Ottoman core; Ottoman era = scope edge
7,Aşağı Pınar Mound,city,Chalcolithic–Iron Age,high,Prehistoric settlement mound (Thrace)
8,Ainos,city,Archaic–Byzantine,high,
9,Assos - Behramkale,city,Archaic–Roman,high,Village continued after antiquity
10,Truva,city,Bronze Age–Roman,high,Troy: BA citadel plus Graeco-Roman city
11,Apollon Smintheus,sanctuary,Classical–Roman,high,Temple sanctuary; no settlement at site
12,Parion,city,Archaic–Roman,high,
13,Neandria,city,Archaic–Hellenistic,high,
14,Alexandria Troas,city,Hellenistic–Byzantine,high,
15,Daskyleion,city,Iron Age–Hellenistic,high,Achaemenid satrapal seat
16,Antandros,city,Archaic–Roman,high,
17,Cyzicus,city,Archaic–Byzantine,high,
18,İzmir Agorası,monument,Roman,high,Agora of Smyrna; single monument
19,Teos,city,Archaic–Roman,high,
20,Metropolis,city,Archaic–Roman,high,Ionian city; Neolithic/BA finds below
21,Klazomenai,city,Archaic–Roman,high,
22,Klaros,sanctuary,Archaic–Roman,high,Oracle sanctuary of Apollo
23,Pergamon,city,Hellenistic–Roman,high,Royal capital
24,Asclepeion,sanctuary,Hellenistic–Roman,high,Pergamon healing sanctuary
25,Erythrae,city,Archaic–Roman,high,
26,Ephesus,city,Archaic–Byzantine,high,
27,Afrodisyas,city,Hellenistic–Byzantine,high,Aphrodisias
28,Miletus,city,Bronze Age–Byzantine,high,
29,Nysa,city,Hellenistic–Byzantine,high,
30,Sardes,city,Iron Age–Byzantine,high,Lydian capital
31,Blaundos,city,Hellenistic–Byzantine,high,
32,Hierapolis,city,Hellenistic–Byzantine,high,UNESCO WHS
33,Laodicea,city,Hellenistic–Byzantine,high,
34,Sagalassos,city,Hellenistic–Byzantine,high,
35,Antioch of Pisidia,city,Hellenistic–Byzantine,high,Roman colony; same site as id 132
36,Ayazini,monument,Iron Age–Byzantine,medium,Phrygian rock monuments plus Byzantine rock village
37,Aslankaya,monument,Iron Age (Phrygian),high,Phrygian rock monument
38,Aizanoi,city,Hellenistic–Roman,high,
39,Pessinus,city,Iron Age–Byzantine,high,Temple-state of Cybele; urbanized
40,Midas Monument,monument,Iron Age (Phrygian),high,Rock monument of Midas City
41,İznik Castle,fortress,Classical–Byzantine,high,Walls of Nicaea; Ottoman conquest 1331 = scope edge
42,Prusias ad Hypium,city,Hellenistic–Byzantine,high,
43,Hadrianapolis,city,Roman–Byzantine,medium,Paphlagonian site; identification reasonably solid
44,Tieion,city,Hellenistic–Byzantine,high,
45,Pompeiopolis,city,Hellenistic–Roman,high,Paphlagonian Pompeiopolis
46,Roma Hamamı,monument,Roman,high,Roman bath; Ankara
47,Augustus Tapınağı,monument,Roman,high,Temple of Augustus; Res Gestae inscription
48,Gordium,city,Iron Age–Hellenistic,high,Phrygian capital
49,Çatalhöyük,city,Neolithic,high,Proto-city; UNESCO WHS
50,Kilistra,city,Hellenistic–Byzantine,medium,Rock-cut settlement with churches
51,Kedrai,city,Classical–Byzantine,high,Sedir Island; Caria
52,Lagina,sanctuary,Hellenistic–Roman,high,Sanctuary of Hecate; dependent on Stratonikeia
53,Stratonikeia,city,Hellenistic–Ottoman,high,Continuously inhabited into Ottoman era
54,Mausoleum at Halicarnassus,monument,Classical,high,Tomb of Mausolus; Seven Wonders
55,Iasos,city,Archaic–Byzantine,high,
56,Letoon,sanctuary,Archaic–Roman,high,Lycian federal sanctuary; UNESCO WHS with Xanthos
57,Xanthos,city,Archaic–Byzantine,high,UNESCO WHS
61,Anemurium,city,Roman–Byzantine,high,
63,Şar,city,Hellenistic–Roman,medium,Comana Cappadociae temple-state
64,Kanlıdivane,city,Hellenistic–Byzantine,medium,Rock-cut settlement in Olba territory
65,Mamure Kalesi,fortress,Roman–Medieval,high,Multi-period fortress
66,Aya Thecla,religious-complex,Roman–Byzantine,high,St Thecla pilgrimage complex; Meriamlik
67,Yesemek,monument,Bronze Age–Iron Age,high,Hittite sculpture quarry and workshop
68,Göbeklitepe,sanctuary,Neolithic,high,Cult site; never a settlement; UNESCO WHS
69,Perre,monument,Roman–Byzantine,medium,Necropolis of Comana Pontica
